"datetime","reference_datetime","model_id","site_id","parameter","family","prediction","variable","depth_m","duration","project_id"
2026-03-29,2026-03-29,"inflow_ar_abp","tubr",1,"ensemble",0.050072177481732,"Flow_cms_mean",NA,"P1D","vera4cast"
2026-03-30,2026-03-29,"inflow_ar_abp","tubr",1,"ensemble",0.0538662108882437,"Flow_cms_mean",NA,"P1D","vera4cast"
2026-03-31,2026-03-29,"inflow_ar_abp","tubr",1,"ensemble",0.0513378813198135,"Flow_cms_mean",NA,"P1D","vera4cast"
2026-04-01,2026-03-29,"inflow_ar_abp","tubr",1,"ensemble",0.0405220194722705,"Flow_cms_mean",NA,"P1D","vera4cast"
2026-04-02,2026-03-29,"inflow_ar_abp","tubr",1,"ensemble",0.0350675253627711,"Flow_cms_mean",NA,"P1D","vera4cast"
2026-04-03,2026-03-29,"inflow_ar_abp","tubr",1,"ensemble",0.0234977245375296,"Flow_cms_mean",NA,"P1D","vera4cast"
2026-04-04,2026-03-29,"inflow_ar_abp","tubr",1,"ensemble",0.0136421257408095,"Flow_cms_mean",NA,"P1D","vera4cast"
2026-04-05,2026-03-29,"inflow_ar_abp","tubr",1,"ensemble",0.0157244834416427,"Flow_cms_mean",NA,"P1D","vera4cast"
2026-04-06,2026-03-29,"inflow_ar_abp","tubr",1,"ensemble",0.0168268285777432,"Flow_cms_mean",NA,"P1D","vera4cast"
2026-04-07,2026-03-29,"inflow_ar_abp","tubr",1,"ensemble",0.002,"Flow_cms_mean",NA,"P1D","vera4cast"
2026-04-08,2026-03-29,"inflow_ar_abp","tubr",1,"ensemble",0.002,"Flow_cms_mean",NA,"P1D","vera4cast"
2026-04-09,2026-03-29,"inflow_ar_abp","tubr",1,"ensemble",0.002,"Flow_cms_mean",NA,"P1D","vera4cast"
2026-04-10,2026-03-29,"inflow_ar_abp","tubr",1,"ensemble",0.002,"Flow_cms_mean",NA,"P1D","vera4cast"
2026-04-11,2026-03-29,"inflow_ar_abp","tubr",1,"ensemble",0.002,"Flow_cms_mean",NA,"P1D","vera4cast"
2026-04-12,2026-03-29,"inflow_ar_abp","tubr",1,"ensemble",0.002,"Flow_cms_mean",NA,"P1D","vera4cast"
